Date,Value
18-Jun-18,1329000
15-Jun-18,1412000
14-Jun-18,1207000
13-Jun-18,1128000
12-Jun-18,1291000
11-Jun-18,1371000
8-Jun-18,1020000
7-Jun-18,1437000
6-Jun-18,1363000
5-Jun-18,857134
4-Jun-18,980708
1-Jun-18,1052000
31-May-18,1226000
30-May-18,1124000
6-Apr-18,1770000
5-Apr-18,1204000
4-Apr-18,1239000
3-Apr-18,1376000
2-Apr-18,1755000
29-Mar-18,1876000
28-Mar-18,1850000
27-Mar-18,1535000
26-Mar-18,1750000
23-Mar-18,2160000
22-Mar-18,1848000
21-Mar-18,1250000
20-Mar-18,1175000
19-Mar-18,1723000
16-Mar-18,1460000
15-Mar-18,1339000
14-Mar-18,1436000
13-Mar-18,1342000
12-Mar-18,1508000
9-Mar-18,2198000
8-Mar-18,884435
7-Mar-18,1138000
29-Dec-17,1285000
28-Dec-17,876989
27-Dec-17,887024
26-Dec-17,788577
22-Dec-17,981470
21-Dec-17,990769
20-Dec-17,1176000
19-Dec-17,1196000
18-Dec-17,1439000
15-Dec-17,1627000
14-Dec-17,1600000
13-Dec-17,1319000
12-Dec-17,1522000
11-Dec-17,1168000
8-Dec-17,1447000
7-Dec-17,1077000
6-Dec-17,1191000
5-Dec-17,1099000
4-Dec-17,1531000
1-Dec-17,2043000
30-Nov-17,2257000
29-Nov-17,1629000
30-Jun-17,1011000
29-Jun-17,1247000
28-Jun-17,885556
27-Jun-17,1035000
26-Jun-17,902145
23-Jun-17,884350
22-Jun-17,810222
21-Jun-17,940810
20-Jun-17,945635
19-Jun-17,985352
16-Jun-17,1066000
15-Jun-17,1228000
14-Jun-17,1230000
13-Jun-17,1002000
12-Jun-17,883494
9-Jun-17,1505000
8-Jun-17,804702
7-Jun-17,925388
6-Jun-17,763992
5-Jun-17,895372
2-Jun-17,1571000
1-Jun-17,1286000
31-May-17,990784
31-Mar-17,1267000
30-Mar-17,1020000
29-Mar-17,854286
28-Mar-17,1131000
27-Mar-17,1260000
24-Mar-17,1197000
23-Mar-17,1098000
22-Mar-17,1557000
21-Mar-17,1265000
20-Mar-17,1004000
17-Mar-17,1186000
16-Mar-17,1229000
15-Mar-17,1238000
14-Mar-17,911642
13-Mar-17,1123000
10-Mar-17,1107000
9-Mar-17,950430
8-Mar-17,1084000
7-Mar-17,823042
6-Mar-17,1114000
3-Mar-17,1319000
