Date,S&P_500,returns
2018-07-31,2816.29,0.00488474987511589
2018-08-01,2813.36,-0.0010403758135703045
2018-08-02,2827.22,0.004926493587738445
2018-08-03,2840.35,0.0046441380578801095
2018-08-06,2850.4,0.0035382963367192044
2018-08-07,2858.45,0.002824165029469361
2018-08-08,2857.7,-0.00026237996116773576
2018-08-09,2853.58,-0.001441718864821362
2018-08-10,2833.28,-0.0071138709971333425
2018-08-13,2821.93,-0.004005957759204981
2018-08-14,2839.96,0.00638924424064391
2018-08-15,2818.37,-0.00760221974957398
2018-08-16,2840.69,0.007919471183698512
2018-08-17,2850.13,0.0033231362802699227
2018-08-20,2857.05,0.002427959426412052
2018-08-21,2862.96,0.0020685672284348477
2018-08-22,2861.82,-0.0003981892866123937
2018-08-23,2856.98,-0.001691231454109654
2018-08-24,2874.69,0.0061988533346399866
2018-08-27,2896.74,0.007670392285776817
2018-08-28,2897.52,0.0002692682118519141
2018-08-29,2914.04,0.005701427427593275
2018-08-30,2901.13,-0.004430275493816138
2018-08-31,2901.52,0.00013443037712890238
2018-09-04,2896.72,-0.001654305329620409
2018-09-05,2888.6,-0.002803170482476691
2018-09-06,2878.05,-0.0036522883057535926
2018-09-07,2871.68,-0.0022133041469051262
2018-09-10,2877.13,0.001897843770893859
2018-09-11,2887.89,0.0037398379635260603
2018-09-12,2888.92,0.00035666178420923345
2018-09-13,2904.18,0.005282250806529776
2018-09-14,2904.98,0.00027546501938591206
2018-09-17,2888.8,-0.005569745746958565
2018-09-18,2904.31,0.005369011354195541
2018-09-19,2907.95,0.00125330973621951
2018-09-20,2930.75,0.007840574975498171
2018-09-21,2929.67,-0.00036850635502849727
2018-09-24,2919.37,-0.0035157543341060027
2018-09-25,2915.56,-0.0013050760951849316
2018-09-26,2905.97,-0.00328924803468289
2018-09-27,2914.0,0.0027632769780832067
2018-09-28,2913.98,-6.863417982172493e-06
2018-10-01,2924.59,0.0036410682297065566
2018-10-02,2923.43,-0.00039663679353352244
2018-10-03,2925.51,0.0007114930065028613
2018-10-04,2901.61,-0.008169515742554312
2018-10-05,2885.57,-0.005527965508803745
2018-10-08,2884.43,-0.00039506925841348295
2018-10-09,2880.34,-0.0014179577940874877
2018-10-10,2785.68,-0.032864175757028824
2018-10-11,2728.37,-0.020573073719881707
2018-10-12,2767.13,0.014206284338267983
2018-10-15,2750.79,-0.005905035180855278
2018-10-16,2809.92,0.021495643069809
2018-10-17,2809.21,-0.0002526762327753618
2018-10-18,2768.78,-0.014391946490294405
2018-10-19,2767.78,-0.00036116990154511086
2018-10-22,2755.88,-0.0042994746692295305
2018-10-23,2740.69,-0.00551185102399232
2018-10-24,2656.1,-0.030864490329077787
2018-10-25,2705.57,0.018625051767629408
2018-10-26,2658.69,-0.01732721755489608
2018-10-29,2641.25,-0.006559621467715271
2018-10-30,2682.63,0.015666824420255576
2018-10-31,2711.74,0.010851291456518197
2018-11-01,2740.37,0.0105577968389301
2018-11-02,2723.06,-0.006316665267828814
2018-11-05,2738.31,0.005600317290107348
2018-11-06,2755.45,0.006259335137365651
2018-11-07,2813.89,0.02120887695294771
